DATE,HOUR,COUNTRY,UNIT,OFFER_TYPE,ENERGY,PRICE,MATCHED
01/02/2025,1,MI,,C,0.9,300.0,O
01/02/2025,1,MI,,C,0.1,300.0,O
01/02/2025,1,MI,,C,0.1,300.0,O
01/02/2025,1,MI,,C,109.0,299.0,O
01/02/2025,1,MI,,C,111.4,290.36,O
01/02/2025,1,MI,,C,1.6,290.36,O
01/02/2025,1,MI,,C,0.2,290.0,O
01/02/2025,1,MI,,C,7.1,280.0,O
01/02/2025,1,MI,,C,907.9,280.0,O
01/02/2025,1,MI,,C,982.3,280.0,O
01/02/2025,1,MI,,C,432.7,280.0,O
01/02/2025,1,MI,,C,1.0,280.0,O
01/02/2025,1,MI,,C,3556.1,280.0,O
01/02/2025,1,MI,,C,4.3,280.0,O
01/02/2025,1,MI,,C,2.0,280.0,O
01/02/2025,1,MI,,C,38.0,280.0,O
01/02/2025,1,MI,,C,623.5,275.0,O
01/02/2025,1,MI,,C,0.1,262.0,O
01/02/2025,1,MI,,C,0.1,262.0,O
01/02/2025,1,MI,,C,50.5,261.0,O
01/02/2025,1,MI,,C,0.2,261.0,O
01/02/2025,1,MI,,C,0.8,261.0,O
01/02/2025,1,MI,,C,8.1,261.0,O
01/02/2025,1,MI,,C,0.7,261.0,O
01/02/2025,1,MI,,C,33.3,261.0,O
01/02/2025,1,MI,,C,0.5,261.0,O
01/02/2025,1,MI,,C,0.6,261.0,O
01/02/2025,1,MI,,C,1.3,261.0,O
01/02/2025,1,MI,,C,0.3,261.0,O
01/02/2025,1,MI,,C,8.2,261.0,O
01/02/2025,1,MI,,C,0.5,261.0,O
01/02/2025,1,MI,,C,74.0,259.76,O
01/02/2025,1,MI,,C,1.4,251.0,O
01/02/2025,1,MI,,C,0.1,251.0,O
01/02/2025,1,MI,,C,0.8,251.0,O
01/02/2025,1,MI,,C,3.9,251.0,O
01/02/2025,1,MI,,C,0.7,251.0,O
01/02/2025,1,MI,,C,0.1,251.0,O
01/02/2025,1,MI,,C,0.1,251.0,O
01/02/2025,1,MI,,C,0.9,251.0,O
01/02/2025,1,MI,,C,0.1,251.0,O
01/02/2025,1,MI,,C,0.8,251.0,O
01/02/2025,1,MI,,C,0.6,251.0,O
01/02/2025,1,MI,,C,1.9,251.0,O
01/02/2025,1,MI,,C,2.7,251.0,O
01/02/2025,1,MI,,C,0.1,251.0,O
01/02/2025,1,MI,,C,0.1,251.0,O
01/02/2025,1,MI,,C,0.4,251.0,O
01/02/2025,1,MI,,C,0.1,251.0,O
01/02/2025,1,MI,,C,4.6,251.0,O
01/02/2025,1,MI,,C,0.2,250.0,O
01/02/2025,1,MI,,C,4.4,250.0,O
01/02/2025,1,MI,,C,6.0,250.0,O
01/02/2025,1,MI,,C,1.7,250.0,O
01/02/2025,1,MI,,C,2.0,250.0,O
01/02/2025,1,MI,,C,1.9,250.0,O
01/02/2025,1,MI,,C,1.3,250.0,O
01/02/2025,1,MI,,C,3.4,250.0,O
01/02/2025,1,MI,,C,0.2,250.0,O
01/02/2025,1,MI,,C,0.1,250.0,O
01/02/2025,1,MI,,C,1.6,250.0,O
01/02/2025,1,MI,,C,0.8,250.0,O
01/02/2025,1,MI,,C,3.7,250.0,O
01/02/2025,1,MI,,C,20.0,250.0,O
01/02/2025,1,MI,,C,1.7,250.0,O
01/02/2025,1,MI,,C,0.4,250.0,O
01/02/2025,1,MI,,C,0.3,250.0,O
01/02/2025,1,MI,,C,0.1,250.0,O
01/02/2025,1,MI,,C,1.8,250.0,O
01/02/2025,1,MI,,C,3.2,250.0,O
01/02/2025,1,MI,,C,0.5,250.0,O
01/02/2025,1,MI,,C,4.5,250.0,O
01/02/2025,1,MI,,C,0.3,250.0,O
01/02/2025,1,MI,,C,23.6,250.0,O
01/02/2025,1,MI,,C,36.6,250.0,O
01/02/2025,1,MI,,C,0.1,250.0,O
01/02/2025,1,MI,,C,11.4,250.0,O
01/02/2025,1,MI,,C,19.9,250.0,O
01/02/2025,1,MI,,C,2.8,250.0,O
01/02/2025,1,MI,,C,0.3,250.0,O
01/02/2025,1,MI,,C,0.2,250.0,O
01/02/2025,1,MI,,C,0.4,250.0,O
01/02/2025,1,MI,,C,1.2,250.0,O
01/02/2025,1,MI,,C,0.1,250.0,O
01/02/2025,1,MI,,C,2.9,250.0,O
01/02/2025,1,MI,,C,0.1,250.0,O
01/02/2025,1,MI,,C,7.5,250.0,O
01/02/2025,1,MI,,C,0.2,250.0,O
01/02/2025,1,MI,,C,2.5,250.0,O
01/02/2025,1,MI,,C,3.4,250.0,O
01/02/2025,1,MI,,C,0.2,250.0,O
01/02/2025,1,MI,,C,0.2,250.0,O
01/02/2025,1,MI,,C,0.1,250.0,O
01/02/2025,1,MI,,C,0.4,250.0,O
01/02/2025,1,MI,,C,1.4,250.0,O
01/02/2025,1,MI,,C,124.9,250.0,O
01/02/2025,1,MI,,C,336.5,250.0,O
01/02/2025,1,MI,,C,1.7,250.0,O
01/02/2025,1,MI,,C,1.1,250.0,O
01/02/2025,1,MI,,C,0.1,250.0,O
01/02/2025,1,MI,,C,97.6,250.0,O
01/02/2025,1,MI,,C,0.2,250.0,O
01/02/2025,1,MI,,C,0.1,250.0,O
01/02/2025,1,MI,,C,0.6,250.0,O
01/02/2025,1,MI,,C,0.3,250.0,O
01/02/2025,1,MI,,C,4.1,250.0,O
01/02/2025,1,MI,,C,0.2,250.0,O
01/02/2025,1,MI,,C,0.2,250.0,O
01/02/2025,1,MI,,C,0.1,250.0,O
01/02/2025,1,MI,,C,5.3,250.0,O
01/02/2025,1,MI,,C,2.7,250.0,O
01/02/2025,1,MI,,C,1.3,250.0,O
01/02/2025,1,MI,,C,9.7,250.0,O
01/02/2025,1,MI,,C,1.6,250.0,O
01/02/2025,1,MI,,C,0.8,250.0,O
01/02/2025,1,MI,,C,2.9,250.0,O
01/02/2025,1,MI,,C,0.3,250.0,O
01/02/2025,1,MI,,C,0.8,250.0,O
01/02/2025,1,MI,,C,0.3,250.0,O
01/02/2025,1,MI,,C,0.8,250.0,O
01/02/2025,1,MI,,C,0.2,250.0,O
01/02/2025,1,MI,,C,2.3,250.0,O
01/02/2025,1,MI,,C,0.2,250.0,O
01/02/2025,1,MI,,C,6.7,245.0,O
01/02/2025,1,MI,,C,6.1,240.0,O
01/02/2025,1,MI,,C,38.4,231.0,O
01/02/2025,1,MI,,C,0.1,230.0,O
01/02/2025,1,MI,,C,15.4,230.0,O
01/02/2025,1,MI,,C,100.0,229.76,O
01/02/2025,1,MI,,C,100.0,229.76,O
01/02/2025,1,MI,,C,50.5,229.76,O
01/02/2025,1,MI,,C,0.2,225.0,O
01/02/2025,1,MI,,C,0.5,225.0,O
01/02/2025,1,MI,,C,34.8,225.0,O
01/02/2025,1,MI,,C,29.4,225.0,O
01/02/2025,1,MI,,C,69.3,224.76,O
01/02/2025,1,MI,,C,75.0,224.76,O
01/02/2025,1,MI,,C,2.1,220.0,O
01/02/2025,1,MI,,C,36.3,220.0,O
01/02/2025,1,MI,,C,60.0,219.76,O
01/02/2025,1,MI,,C,40.0,214.76,O
01/02/2025,1,MI,,C,5.6,212.0,O
01/02/2025,1,MI,,C,1.4,212.0,O
01/02/2025,1,MI,,C,1.8,212.0,O
01/02/2025,1,MI,,C,8.6,212.0,O
01/02/2025,1,MI,,C,0.3,211.0,O
01/02/2025,1,MI,,C,0.1,211.0,O
01/02/2025,1,MI,,C,15.0,209.76,O
01/02/2025,1,MI,,C,33.6,207.46,O
01/02/2025,1,MI,,C,96.0,207.46,O
01/02/2025,1,MI,,C,0.5,205.8,O
01/02/2025,1,MI,,C,0.3,205.0,O
01/02/2025,1,MI,,C,0.3,202.0,O
01/02/2025,1,MI,,C,10.0,202.0,O
01/02/2025,1,MI,,C,0.6,201.0,O
01/02/2025,1,MI,,C,0.1,201.0,O
01/02/2025,1,MI,,C,0.6,201.0,O
01/02/2025,1,MI,,C,3.9,201.0,O
01/02/2025,1,MI,,C,7.9,201.0,O
01/02/2025,1,MI,,C,0.1,201.0,O
01/02/2025,1,MI,,C,0.1,201.0,O
01/02/2025,1,MI,,C,1.6,201.0,O
01/02/2025,1,MI,,C,6.0,200.01,O
01/02/2025,1,MI,,C,0.4,200.0,O
01/02/2025,1,MI,,C,0.9,200.0,O
01/02/2025,1,MI,,C,1.4,200.0,O
01/02/2025,1,MI,,C,0.7,200.0,O
01/02/2025,1,MI,,C,4.5,200.0,O
01/02/2025,1,MI,,C,1.6,200.0,O
01/02/2025,1,MI,,C,0.6,200.0,O
01/02/2025,1,MI,,C,7.4,200.0,O
01/02/2025,1,MI,,C,0.6,200.0,O
01/02/2025,1,MI,,C,2.8,200.0,O
01/02/2025,1,MI,,C,0.1,200.0,O
01/02/2025,1,MI,,C,1.5,200.0,O
01/02/2025,1,MI,,C,0.3,200.0,O
01/02/2025,1,MI,,C,1.7,200.0,O
01/02/2025,1,MI,,C,0.1,200.0,O
01/02/2025,1,MI,,C,4.4,200.0,O
01/02/2025,1,MI,,C,0.4,200.0,O
01/02/2025,1,MI,,C,0.1,200.0,O
01/02/2025,1,MI,,C,0.4,200.0,O
01/02/2025,1,MI,,C,1.3,200.0,O
01/02/2025,1,MI,,C,0.2,200.0,O
01/02/2025,1,MI,,C,6.0,200.0,O
01/02/2025,1,MI,,C,0.4,200.0,O
01/02/2025,1,MI,,C,40.7,200.0,O
01/02/2025,1,MI,,C,8.1,200.0,O
01/02/2025,1,MI,,C,0.1,200.0,O
01/02/2025,1,MI,,C,0.1,200.0,O
01/02/2025,1,MI,,C,0.4,200.0,O
01/02/2025,1,MI,,C,0.3,200.0,O
01/02/2025,1,MI,,C,0.2,200.0,O
01/02/2025,1,MI,,C,0.1,200.0,O
01/02/2025,1,MI,,C,0.1,200.0,O
01/02/2025,1,MI,,C,0.1,200.0,O
01/02/2025,1,MI,,C,2.8,200.0,O
01/02/2025,1,MI,,C,1.1,200.0,O
01/02/2025,1,MI,,C,0.6,200.0,O
01/02/2025,1,MI,,C,0.3,200.0,O
01/02/2025,1,MI,,C,0.2,200.0,O
01/02/2025,1,MI,,C,0.7,200.0,O
01/02/2025,1,MI,,C,1.1,200.0,O
01/02/2025,1,MI,,C,0.2,200.0,O
01/02/2025,1,MI,,C,0.2,200.0,O
01/02/2025,1,MI,,C,0.1,200.0,O
01/02/2025,1,MI,,C,0.1,200.0,O
01/02/2025,1,MI,,C,1.0,200.0,O
01/02/2025,1,MI,,C,0.7,200.0,O
01/02/2025,1,MI,,C,0.5,200.0,O
01/02/2025,1,MI,,C,9.9,200.0,O
01/02/2025,1,MI,,C,2.1,200.0,O
01/02/2025,1,MI,,C,0.1,200.0,O
01/02/2025,1,MI,,C,0.1,200.0,O
01/02/2025,1,MI,,C,0.6,200.0,O
01/02/2025,1,MI,,C,12.6,200.0,O
01/02/2025,1,MI,,C,2.0,200.0,O
01/02/2025,1,MI,,C,1.2,200.0,O
01/02/2025,1,MI,,C,0.4,200.0,O
01/02/2025,1,MI,,C,0.4,200.0,O
01/02/2025,1,MI,,C,0.2,200.0,O
01/02/2025,1,MI,,C,0.3,189.0,O
01/02/2025,1,MI,,C,22.8,186.0,O
01/02/2025,1,MI,,C,4.8,183.25,O
01/02/2025,1,MI,,C,1.0,181.0,O
01/02/2025,1,MI,,C,25.8,181.0,O
01/02/2025,1,MI,,C,0.1,180.3,O
01/02/2025,1,MI,,C,0.3,180.3,O
01/02/2025,1,MI,,C,0.4,180.3,O
01/02/2025,1,MI,,C,0.8,180.0,O
01/02/2025,1,MI,,C,0.5,180.0,O
01/02/2025,1,MI,,C,5.9,180.0,O
01/02/2025,1,MI,,C,2.3,180.0,O
01/02/2025,1,MI,,C,1.1,180.0,O
01/02/2025,1,MI,,C,0.9,180.0,O
01/02/2025,1,MI,,C,2.6,180.0,O
01/02/2025,1,MI,,C,0.6,180.0,O
01/02/2025,1,MI,,C,1.6,180.0,O
01/02/2025,1,MI,,C,3.5,180.0,O
01/02/2025,1,MI,,C,0.1,180.0,O
01/02/2025,1,MI,,C,29.0,180.0,O
01/02/2025,1,MI,,C,1.6,180.0,O
01/02/2025,1,MI,,C,4.0,180.0,O
01/02/2025,1,MI,,C,6.2,171.0,O
01/02/2025,1,MI,,C,14.6,171.0,O
01/02/2025,1,MI,,C,0.3,171.0,O
01/02/2025,1,MI,,C,0.2,171.0,O
01/02/2025,1,MI,,C,0.7,171.0,O
01/02/2025,1,MI,,C,0.1,171.0,O
01/02/2025,1,MI,,C,14.1,171.0,O
01/02/2025,1,MI,,C,0.2,171.0,O
01/02/2025,1,MI,,C,0.1,171.0,O
01/02/2025,1,MI,,C,0.8,171.0,O
01/02/2025,1,MI,,C,2.2,171.0,O
01/02/2025,1,MI,,C,4.2,171.0,O
01/02/2025,1,MI,,C,6.2,171.0,O
01/02/2025,1,MI,,C,0.5,171.0,O
01/02/2025,1,MI,,C,0.1,171.0,O
01/02/2025,1,MI,,C,0.5,171.0,O
01/02/2025,1,MI,,C,0.7,171.0,O
01/02/2025,1,MI,,C,0.4,171.0,O
01/02/2025,1,MI,,C,1.4,171.0,O
01/02/2025,1,MI,,C,2.0,170.0,O
01/02/2025,1,MI,,C,24.3,168.0,O
01/02/2025,1,MI,,C,0.9,166.0,O
01/02/2025,1,MI,,C,9.1,165.0,O
01/02/2025,1,MI,,C,0.5,160.0,O
01/02/2025,1,MI,,C,1.0,160.0,O
01/02/2025,1,MI,,C,27.5,154.38,O
01/02/2025,1,MI,,C,0.2,151.75,O
01/02/2025,1,MI,,C,60.6,151.75,O
01/02/2025,1,MI,,C,0.5,151.75,O
01/02/2025,1,MI,,C,0.5,151.1,O
01/02/2025,1,MI,,C,2.0,151.1,O
01/02/2025,1,MI,,C,0.7,151.1,O
01/02/2025,1,MI,,C,35.6,151.1,O
01/02/2025,1,MI,,C,0.1,151.1,O
01/02/2025,1,MI,,C,0.6,151.1,O
01/02/2025,1,MI,,C,0.6,151.1,O
01/02/2025,1,MI,,C,1.2,151.1,O
01/02/2025,1,MI,,C,0.7,151.1,O
01/02/2025,1,MI,,C,2.6,151.1,O
01/02/2025,1,MI,,C,3.3,151.1,O
01/02/2025,1,MI,,C,2.2,151.1,O
01/02/2025,1,MI,,C,7.4,151.1,O
01/02/2025,1,MI,,C,7.0,151.1,O
01/02/2025,1,MI,,C,0.1,151.1,O
01/02/2025,1,MI,,C,3.6,151.1,O
01/02/2025,1,MI,,C,42.0,150.0,O
01/02/2025,1,MI,,C,0.9,150.0,O
01/02/2025,1,MI,,C,0.2,150.0,O
01/02/2025,1,MI,,C,0.1,150.0,O
01/02/2025,1,MI,,C,3.9,150.0,O
01/02/2025,1,MI,,C,0.3,150.0,O
01/02/2025,1,MI,,C,1.0,147.4,O
01/02/2025,1,MI,,C,11.1,145.36,O
01/02/2025,1,MI,,C,1.0,144.4,O
01/02/2025,1,MI,,C,15.2,144.38,O
01/02/2025,1,MI,,C,12.8,144.38,O
01/02/2025,1,MI,,C,12.5,142.46,O
01/02/2025,1,MI,,C,0.8,140.0,O
01/02/2025,1,MI,,C,12.5,137.46,O
01/02/2025,1,MI,,C,41.5,137.0,O
01/02/2025,1,MI,,C,26.9,137.0,O
01/02/2025,1,MI,,C,11.7,136.38,O
01/02/2025,1,MI,,C,13.9,136.38,O
01/02/2025,1,MI,,C,12.5,132.46,O
01/02/2025,1,MI,,C,5.6,130.36,O
01/02/2025,1,MI,,C,7.7,130.0,O
01/02/2025,1,MI,,C,0.6,130.0,O
01/02/2025,1,MI,,C,13.5,129.0,O
01/02/2025,1,MI,,C,8.5,129.0,O
01/02/2025,1,MI,,C,7.8,129.0,O
01/02/2025,1,MI,,C,3.0,128.14,O
01/02/2025,1,MI,,C,12.5,127.46,O
01/02/2025,1,MI,,C,0.2,125.38,O
01/02/2025,1,MI,,C,7.0,125.38,O
01/02/2025,1,MI,,C,3.7,125.38,O
01/02/2025,1,MI,,C,0.5,125.38,O
01/02/2025,1,MI,,C,6.6,125.38,O
01/02/2025,1,MI,,C,7.6,125.38,O
01/02/2025,1,MI,,C,13.4,125.0,O
01/02/2025,1,MI,,C,8.5,125.0,O
01/02/2025,1,MI,,C,3.0,123.14,O
01/02/2025,1,MI,,C,2.5,123.14,O
01/02/2025,1,MI,,C,2.2,123.14,O
01/02/2025,1,MI,,C,17.2,122.18,O
01/02/2025,1,MI,,C,6.1,122.18,O
01/02/2025,1,MI,,C,5.9,122.0,O
01/02/2025,1,MI,,C,8.5,122.0,O
01/02/2025,1,MI,,C,13.5,122.0,O
01/02/2025,1,MI,,C,5.5,120.36,O
01/02/2025,1,MI,,C,3.0,120.14,O
01/02/2025,1,MI,,C,7.6,119.38,O
01/02/2025,1,MI,,C,4.9,119.38,O
01/02/2025,1,MI,,C,10.1,119.38,O
01/02/2025,1,MI,,C,3.4,119.38,O
01/02/2025,1,MI,,C,3.0,118.14,O
01/02/2025,1,MI,,C,2.0,117.0,O
01/02/2025,1,MI,,C,2.0,117.0,O
01/02/2025,1,MI,,C,0.3,117.0,O
01/02/2025,1,MI,,C,8.5,117.0,O
01/02/2025,1,MI,,C,13.5,117.0,O
01/02/2025,1,MI,,C,5.9,117.0,O
01/02/2025,1,MI,,C,1.9,117.0,O
01/02/2025,1,MI,,C,40.0,115.5,O
01/02/2025,1,MI,,C,3.0,113.14,O
01/02/2025,1,MI,,C,2.1,113.14,O
01/02/2025,1,MI,,C,2.2,113.14,O
01/02/2025,1,MI,,C,7.8,112.38,O
01/02/2025,1,MI,,C,0.9,112.38,O
01/02/2025,1,MI,,C,7.9,112.38,O
01/02/2025,1,MI,,C,2.2,112.38,O
01/02/2025,1,MI,,C,0.2,112.38,O
01/02/2025,1,MI,,C,5.5,112.38,O
01/02/2025,1,MI,,C,0.8,112.38,O
01/02/2025,1,MI,,C,20.0,110.4,O
01/02/2025,1,MI,,C,0.4,110.38,O
01/02/2025,1,MI,,C,7.8,110.38,O
01/02/2025,1,MI,,C,9.3,110.38,O
01/02/2025,1,MI,,C,5.0,110.09,O
01/02/2025,1,MI,,C,2.3,110.09,O
01/02/2025,1,MI,,C,30.0,110.0,O
01/02/2025,1,MI,,C,40.0,110.0,O
01/02/2025,1,MI,,C,2.6,110.0,O
01/02/2025,1,MI,,C,1.4,108.14,O
01/02/2025,1,MI,,C,3.0,108.14,O
01/02/2025,1,MI,,C,10.0,107.0,O
01/02/2025,1,MI,,C,3.0,106.14,O
01/02/2025,1,MI,,C,20.0,105.4,O
